Barcelona 1992 Olympics: This countries medal tally was: 0  Gold, 2  Silver, 0  Bronze, 2 in Total`south africa
Montreal 1976 Olympics: How many BRONZE medals were won by: Trinidad`0
Montreal 1976 Olympics: How many BRONZE medals were won by: Monaco`0
Montreal 1976 Olympics: How many BRONZE medals were won by: Venezuela`0
Montreal 1976 Olympics: How many BRONZE medals were won by: Austria`1
Montreal 1976 Olympics: How many BRONZE medals were won by: Puerto Rico`1
Montreal 1976 Olympics: How many BRONZE medals were won by: Bermuda`1
Montreal 1976 Olympics: How many BRONZE medals were won by: Pakistan`1
Montreal 1976 Olympics: How many BRONZE medals were won by: Thailand`1
Sydney 2000 Olympics: How many SILVER medals were won by: United States of America`24
Sydney 2000 Olympics: How many SILVER medals were won by: Russia`28
Sydney 2000 Olympics: How many SILVER medals were won by: China`16
Sydney 2000 Olympics: How many SILVER medals were won by: Australia`25
Sydney 2000 Olympics: How many SILVER medals were won by: Germany`17
Sydney 2000 Olympics: How many SILVER medals were won by: France`14
Sydney 2000 Olympics: How many SILVER medals were won by: Italy`8
Sydney 2000 Olympics: How many SILVER medals were won by: Netherlands`9
Sydney 2000 Olympics: How many SILVER medals were won by: Cuba`11
Sydney 2000 Olympics: How many SILVER medals were won by: Great Britain`10
Sydney 2000 Olympics: How many SILVER medals were won by: Romania`6
Sydney 2000 Olympics: How many SILVER medals were won by: South Korea`10
Sydney 2000 Olympics: How many SILVER medals were won by: Hungary`6
Sydney 2000 Olympics: How many SILVER medals were won by: Poland`5
Sydney 2000 Olympics: How many SILVER medals were won by: Japan`8
Sydney 2000 Olympics: How many SILVER medals were won by: Bulgaria`6
Sydney 2000 Olympics: How many SILVER medals were won by: Greece`6
Sydney 2000 Olympics: How many SILVER medals were won by: Sweden`5
Sydney 2000 Olympics: How many SILVER medals were won by: Norway`3
Sydney 2000 Olympics: How many SILVER medals were won by: Ethiopia`1
Sydney 2000 Olympics: How many SILVER medals were won by: Ukraine`10
Sydney 2000 Olympics: How many SILVER medals were won by: Belarus`3
Sydney 2000 Olympics: How many SILVER medals were won by: Kazakhstan`4
Sydney 2000 Olympics: How many SILVER medals were won by: Canada`3
Sydney 2000 Olympics: How many SILVER medals were won by: Spain`3
Sydney 2000 Olympics: How many SILVER medals were won by: Turkey`0
Sydney 2000 Olympics: How many SILVER medals were won by: Iran`0
Sydney 2000 Olympics: How many SILVER medals were won by: Czech Republic`3
Sydney 2000 Olympics: How many SILVER medals were won by: Kenya`3
Sydney 2000 Olympics: How many SILVER medals were won by: Denmark`3
Sydney 2000 Olympics: How many SILVER medals were won by: Finland`1
Sydney 2000 Olympics: How many SILVER medals were won by: Austria`1
Sydney 2000 Olympics: How many SILVER medals were won by: Lithuania`0
Sydney 2000 Olympics: How many SILVER medals were won by: Azerbaijan`0
Sydney 2000 Olympics: How many SILVER medals were won by: Slovenia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Switzerland`6
Sydney 2000 Olympics: How many SILVER medals were won by: Indonesia`3
Sydney 2000 Olympics: How many SILVER medals were won by: Slovakia`3
Sydney 2000 Olympics: How many SILVER medals were won by: Mexico`2
Sydney 2000 Olympics: How many SILVER medals were won by: Algeria`1
Sydney 2000 Olympics: How many SILVER medals were won by: Uzbekistan`1
Sydney 2000 Olympics: How many SILVER medals were won by: Yugoslavia`1
Sydney 2000 Olympics: How many SILVER medals were won by: Latvia`1
Sydney 2000 Olympics: How many SILVER medals were won by: Bahamas`1
Sydney 2000 Olympics: How many SILVER medals were won by: New Zealand`0
Sydney 2000 Olympics: How many SILVER medals were won by: Thailand`0
Sydney 2000 Olympics: How many SILVER medals were won by: Estonia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Croatia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Cameroon`0
Sydney 2000 Olympics: How many SILVER medals were won by: Colombia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Mozambique`0
Sydney 2000 Olympics: How many SILVER medals were won by: Brazil`6
Sydney 2000 Olympics: How many SILVER medals were won by: Jamaica`4
Sydney 2000 Olympics: How many SILVER medals were won by: Nigeria`3
Sydney 2000 Olympics: How many SILVER medals were won by: Belgium`2
Sydney 2000 Olympics: How many SILVER medals were won by: South Africa`2
Sydney 2000 Olympics: How many SILVER medals were won by: Argentina`2
Sydney 2000 Olympics: How many SILVER medals were won by: Taiwan/Republic of China`1
Sydney 2000 Olympics: How many SILVER medals were won by: Morocco`1
Sydney 2000 Olympics: How many SILVER medals were won by: North Korea`1
Sydney 2000 Olympics: How many SILVER medals were won by: Trinidad and Tobago`1
Sydney 2000 Olympics: How many SILVER medals were won by: Moldova`1
Sydney 2000 Olympics: How many SILVER medals were won by: Saudi Arabia`1
Sydney 2000 Olympics: How many SILVER medals were won by: Ireland`1
Sydney 2000 Olympics: How many SILVER medals were won by: Uruguay`1
Sydney 2000 Olympics: How many SILVER medals were won by: Vietnam`1
Sydney 2000 Olympics: How many SILVER medals were won by: Georgia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Portugal`0
Sydney 2000 Olympics: How many SILVER medals were won by: Costa Rica`0
Sydney 2000 Olympics: How many SILVER medals were won by: Sri Lanka`0
Sydney 2000 Olympics: How many SILVER medals were won by: India`0
Sydney 2000 Olympics: How many SILVER medals were won by: Qatar`0
Sydney 2000 Olympics: How many SILVER medals were won by: Kuwait`0
Sydney 2000 Olympics: How many SILVER medals were won by: Armenia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Barbados`0
Sydney 2000 Olympics: How many SILVER medals were won by: Macedonia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Chile`0
Sydney 2000 Olympics: How many SILVER medals were won by: Iceland`0
Sydney 2000 Olympics: How many SILVER medals were won by: Israel`0
Sydney 2000 Olympics: How many SILVER medals were won by: Kyrgyzstan`0
Atlanta 1996 Olympics: How many SILVER medals were won by: United States of America`31
Atlanta 1996 Olympics: How many SILVER medals were won by: Germany`17
Atlanta 1996 Olympics: How many SILVER medals were won by: Russia`20
Atlanta 1996 Olympics: How many SILVER medals were won by: China`20
Atlanta 1996 Olympics: How many SILVER medals were won by: Australia`9
Atlanta 1996 Olympics: How many SILVER medals were won by: Italy`10
Atlanta 1996 Olympics: How many SILVER medals were won by: France`6
Atlanta 1996 Olympics: How many SILVER medals were won by: South Korea`15
Atlanta 1996 Olympics: How many SILVER medals were won by: Cuba`8
Atlanta 1996 Olympics: How many SILVER medals were won by: Ukraine`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Canada`11
Atlanta 1996 Olympics: How many SILVER medals were won by: Hungary`3
Atlanta 1996 Olympics: How many SILVER medals were won by: Romania`6
Atlanta 1996 Olympics: How many SILVER medals were won by: The Netherlands`3
Atlanta 1996 Olympics: How many SILVER medals were won by: Brazil`3
Atlanta 1996 Olympics: How many SILVER medals were won by: Belarus`6
Atlanta 1996 Olympics: How many SILVER medals were won by: Poland`5
Atlanta 1996 Olympics: How many SILVER medals were won by: Spain`4
Atlanta 1996 Olympics: How many SILVER medals were won by: Bulgaria`6
Atlanta 1996 Olympics: How many SILVER medals were won by: Japan`6
Atlanta 1996 Olympics: How many SILVER medals were won by: Great Britain`8
Atlanta 1996 Olympics: How many SILVER medals were won by: Kazakhstan`4
Atlanta 1996 Olympics: How many SILVER medals were won by: Czech Republic`3
Atlanta 1996 Olympics: How many SILVER medals were won by: Greece`4
Atlanta 1996 Olympics: How many SILVER medals were won by: Sweden`4
Atlanta 1996 Olympics: How many SILVER medals were won by: Kenya`4
Atlanta 1996 Olympics: How many SILVER medals were won by: Denmark`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Turkey`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Switzerland`3
Atlanta 1996 Olympics: How many SILVER medals were won by: New Zealand`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Belgium`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Norway`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Nigeria`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Jamaica`3
Atlanta 1996 Olympics: How many SILVER medals were won by: South Africa`1
Atlanta 1996 Olympics: How many SILVER medals were won by: North Korea`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Ireland`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Finland`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Algeria`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Ethiopia`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Indonesia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Iran`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Slovakia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Argentina`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Austria`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Armenia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Croatia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Portugal`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Thailand`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Namibia`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Slovenia`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Malaysia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Moldova`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Uzbekistan`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Yugoslavia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Georgia`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Morocco`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Trinidad and Tobago`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Burundi`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Costa Rica`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Ecuador`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Hong Kong, China`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Syria`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Azerbaijan`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Bahamas`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Latvia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Philippines`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Tonga`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Chinese Taipei`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Zambia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: India`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Israel`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Lithuania`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Mexico`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Mongolia`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Mozambique`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Puerto Rico`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Tunisia`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Uganda`0
Barcelona 1992 Olympics: How many SILVER medals were won by: Unified Team 1992`37
Barcelona 1992 Olympics: How many SILVER medals were won by: United States of America`34
Barcelona 1992 Olympics: How many SILVER medals were won by: Germany`19
Barcelona 1992 Olympics: How many SILVER medals were won by: China`21
Barcelona 1992 Olympics: How many SILVER medals were won by: Cuba`6
Barcelona 1992 Olympics: How many SILVER medals were won by: Hungary`11
Barcelona 1992 Olympics: How many SILVER medals were won by: France`5
Barcelona 1992 Olympics: How many SILVER medals were won by: South Korea`5
Barcelona 1992 Olympics: How many SILVER medals were won by: Australia`9
Barcelona 1992 Olympics: How many SILVER medals were won by: Spain`7
Barcelona 1992 Olympics: How many SILVER medals were won by: Great Britain`3
Barcelona 1992 Olympics: How many SILVER medals were won by: Japan`8
Barcelona 1992 Olympics: How many SILVER medals were won by: Italy`5
Barcelona 1992 Olympics: How many SILVER medals were won by: Poland`6
Barcelona 1992 Olympics: How many SILVER medals were won by: Canada`3
Barcelona 1992 Olympics: How many SILVER medals were won by: Romania`4
Barcelona 1992 Olympics: How many SILVER medals were won by: The Netherlands`6
Barcelona 1992 Olympics: How many SILVER medals were won by: Bulgaria`5
Barcelona 1992 Olympics: How many SILVER medals were won by: Sweden`7
Barcelona 1992 Olympics: How many SILVER medals were won by: New Zealand`4
Barcelona 1992 Olympics: How many SILVER medals were won by: North Korea`0
Barcelona 1992 Olympics: How many SILVER medals were won by: Kenya`4
Barcelona 1992 Olympics: How many SILVER medals were won by: Norway`4
Barcelona 1992 Olympics: How many SILVER medals were won by: Czechoslovakia`2
Barcelona 1992 Olympics: How many SILVER medals were won by: Turkey`2
Barcelona 1992 Olympics: How many SILVER medals were won by: Denmark`1
Barcelona 1992 Olympics: How many SILVER medals were won by: Indonesia`2
Barcelona 1992 Olympics: How many SILVER medals were won by: Finland`2
Barcelona 1992 Olympics: How many SILVER medals were won by: Jamaica`3
Barcelona 1992 Olympics: How many SILVER medals were won by: Nigeria`3
Barcelona 1992 Olympics: How many SILVER medals were won by: Brazil`1
Barcelona 1992 Olympics: How many SILVER medals were won by: Morocco`1
Barcelona 1992 Olympics: How many SILVER medals were won by: Ethiopia`0
Barcelona 1992 Olympics: How many SILVER medals were won by: Latvia`2
Barcelona 1992 Olympics: How many SILVER medals were won by: Belgium`1
Barcelona 1992 Olympics: How many SILVER medals were won by: Croatia`1
Barcelona 1992 Olympics: How many SILVER medals were won by: Iran`1
Barcelona 1992 Olympics: How many SILVER medals were won by: Greece`0
Barcelona 1992 Olympics: How many SILVER medals were won by: Ireland`1
Barcelona 1992 Olympics: How many SILVER medals were won by: Algeria`0
Barcelona 1992 Olympics: How many SILVER medals were won by: Estonia`0
Barcelona 1992 Olympics: How many SILVER medals were won by: Lithuania`0
Barcelona 1992 Olympics: How many SILVER medals were won by: Austria`2
Barcelona 1992 Olympics: How many SILVER medals were won by: Namibia`2
Barcelona 1992 Olympics: How many SILVER medals were won by: South Africa`2
Barcelona 1992 Olympics: How many SILVER medals were won by: Israel`1
Barcelona 1992 Olympics: How many SILVER medals were won by: Yugoslavia`1
Barcelona 1992 Olympics: How many SILVER medals were won by: Slovenia`0
Barcelona 1992 Olympics: How many SILVER medals were won by: Switzerland`0
Barcelona 1992 Olympics: How many SILVER medals were won by: Mexico`1
Barcelona 1992 Olympics: How many SILVER medals were won by: Peru`1
Barcelona 1992 Olympics: How many SILVER medals were won by: Chinese Taipei`1
